idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
26376,1584,1578/2026,SRE/1578/2026,CVM/SRE/AUT/DEB/PRI/2026/261,Debêntures,PRIMARIA,Registro Concedido,DELTA SUCROENERGIA S.A,13.537.735/0001-09,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"220.000.000,0000",26/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
26412,1584,1599/2026,SRE/1599/2026,CVM/SRE/AUT/DEB/PRI/2026/260,Debêntures,PRIMARIA,Registro Concedido,PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97,BANCO VOTORANTIM S.A.,59.588.111/0001-03,"50.000.000,0000",26/05/2026,OPD Aut Profissional - com bookbuilding,False,True,True,
26351,1584,1541/2026,SRE/1541/2026,CVM/SRE/AUT/FII/PRI/2026/170,Cotas de FII,PRIMARIA,Registro Concedido,KINEA CREDITO RESIDENCIAL PULVERIZADO FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,66.038.922/0001-04,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"510.000.000,0000",26/05/2026,OPD Aut Público em Geral ou Qualificado - com bookbuilding,False,True,True,KINEA CRÉDITO RESIDENCIAL PULVERIZADO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA
26246,1584,1494/2026,SRE/1494/2026,CVM/SRE/AUT/CPR/PRI/2026/009;CVM/SRE/AUT/CPR/PRI/2026/010,Cédula de Produto Rural Financeira,PRIMARIA,Registro Concedido,POLATO SEMENTES LTDA,44.514.091/0001-59,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"142.107.000,0000",26/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
26348,1584,1538/2026,SRE/1538/2026,CVM/SRE/AUT/DEB/PRI/2026/259,Debêntures,PRIMARIA,Registro Concedido,COMBIO ENERGIA S.A.,10.376.555/0001-96,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"200.000.000,0000",26/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
26403,1584,1596/2026,SRE/1596/2026,CVM/SRE/AUT/DEB/PRI/2026/258,Debêntures,PRIMARIA,Oferta Encerrada,REFINARIA DE MATARIPE S.A.,41.777.706/0001-41,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"275.000.000,0000",26/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
26453,1584,1634/2026,SRE/1634/2026,CVM/SRE/AUT/FII/PRI/2026/168,Cotas de FII,PRIMARIA,Registro Concedido,BGR B32 FUNDO DE INVESTIMENTO IMOBILIÁRIO,57.216.258/0001-47,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,"45.081.840,0000",25/05/2026,OPD Aut Público em Geral ou Qualificado - sem bookbuilding,False,False,True,BGR B32 FUNDO DE INVESTIMENTO IMOBILIÁRIO
26454,1584,1633/2026,SRE/1633/2026,,Debêntures,PRIMARIA,Aguardando Bookbuilding,ROSARIO DO CATETE AMBIENTAL SOCIEDADE ANONIMA,43.061.782/0001-81,BANCO BTG PACTUAL S/A,30.306.294/0001-45,"126.000.000,0000",25/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,False,True,
26444,1584,1632/2026,SRE/1632/2026,CVM/SRE/AUT/DEB/PRI/2026/257,Debêntures,PRIMARIA,Registro Concedido,ORIZON MEIO AMBIENTE S.A.,03.279.285/0001-30,BANCO MIZUHO DO BRASIL S/A,61.088.183/0001-33,"150.000.000,0000",25/05/2026,OPD Aut Profissional - sem bookbuilding,False,False,True,
26338,1584,1572/2026,SRE/1572/2026,CVM/SRE/AUT/DEB/PRI/2026/255;CVM/SRE/AUT/DEB/PRI/2026/256,Debêntures,PRIMARIA,Registro Concedido,METRO BH S.A.,46.574.475/0001-92,BR PARTNERS BANCO DE INVESTIMENTO S.A.,13.220.493/0001-17,"300.000.000,0000",25/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
26153,1584,1363/2026,SRE/1363/2026,CVM/SRE/AUT/DEB/PRI/2026/254,Debêntures,PRIMARIA,Registro Concedido,REDE D'OR SÃO LUIZ S.A.,06.047.087/0001-39,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"2.485.000.000,0000",25/05/2026,OPD Aut Profissional - com bookbuilding,False,True,True,
26451,1584,1631/2026,SRE/1631/2026,CVM/SRE/AUT/FDC/PRI/2026/806,Cotas de FIDC,PRIMARIA,Registro Concedido,PRECAVIDA EQI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,63.515.403/0001-93,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,"15.000.000,0000",25/05/2026,OPD Aut Profissional - sem bookbuilding,False,False,True,PRECAVIDA EQI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
26449,1584,1630/2026,SRE/1630/2026,,Notas Comerciais,PRIMARIA,Aguardando Bookbuilding,COMÉRCIO DE MEDICAMENTOS BRAIR LTDA.,88.212.113/0001-00,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"200.000.000,0000",25/05/2026,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,False,True,
26446,1584,1628/2026,SRE/1628/2026,CVM/SRE/AUT/FDC/PRI/2026/805,Cotas de FIDC,PRIMARIA,Registro Concedido,PATRIMONIAL TIGNES FI EM COTAS DE FI EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,66.935.232/0001-40,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,"250.000.000,0000",25/05/2026,OPD Aut Público em Geral ou Qualificado - sem bookbuilding,False,False,True,PATRIMONIAL TIGNES FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA
